번호,관리기관,버스정류장명,경도,위도,버스정류장 외국어 음성안내 정보시스템 설치여부,관리기관명,데이터기준일자
372,경기도 양주시,하패1리복지회관,127.036468,37.888076,N,양주시 대중교통과,2023-08-23
373,경기도 양주시,한강섬유,127.016095,37.869805,N,양주시 대중교통과,2023-08-23
374,경기도 양주시,한국아파트,127.0627679,37.83928268,N,양주시 대중교통과,2023-08-23
375,경기도 양주시,한국아파트입구,127.0625066,37.83924677,N,양주시 대중교통과,2023-08-23
376,경기도 양주시,한산1리회관,127.004215,37.89872,N,양주시 대중교통과,2023-08-23
377,경기도 양주시,한승미르빌아파트,126.980299,37.81117807,N,양주시 대중교통과,2023-08-23
378,경기도 양주시,한승미르빌아파트,126.980422,37.811197,N,양주시 대중교통과,2023-08-23
379,경기도 양주시,한승아파트입구,127.0565315,37.81068547,N,양주시 대중교통과,2023-08-23
380,경기도 양주시,한양수자인1단지아파트,127.079103,37.801505,N,양주시 대중교통과,2023-08-23
381,경기도 양주시,한양수자인1단지아파트,127.078907,37.801428,N,양주시 대중교통과,2023-08-23
382,경기도 양주시,한양수자인3단지아파트,127.0778324,37.78805485,N,양주시 대중교통과,2023-08-23
383,경기도 양주시,한양수자인3단지아파트,127.0781936,37.78786432,N,양주시 대중교통과,2023-08-23
384,경기도 양주시,해넘이건강마당,127.084873,37.828994,N,양주시 대중교통과,2023-08-23
385,경기도 양주시,해넘이건강마당,127.084733,37.828798,N,양주시 대중교통과,2023-08-23
386,경기도 양주시,현대아파트,127.0779871,37.8025601,N,양주시 대중교통과,2023-08-23
387,경기도 양주시,현대아파트,127.077942,37.80284843,N,양주시 대중교통과,2023-08-23
388,경기도 양주시,현진에버빌아파트,127.0609199,37.80656299,N,양주시 대중교통과,2023-08-23
389,경기도 양주시,현진에버빌아파트,127.0607326,37.80640538,N,양주시 대중교통과,2023-08-23
390,경기도 양주시,화학대,127.023161,37.866209,N,양주시 대중교통과,2023-08-23
391,경기도 양주시,회암2통마을회관.생명나무교회,127.085835,37.83821,N,양주시 대중교통과,2023-08-23
392,경기도 양주시,회암2통마을회관.생명나무교회,127.084409,37.838226,N,양주시 대중교통과,2023-08-23
393,경기도 양주시,회천4동행정복지센터,127.092096,37.835598,N,양주시 대중교통과,2023-08-23
394,경기도 양주시,회천4동행정복지센터,127.0916,37.836526,N,양주시 대중교통과,2023-08-23
395,경기도 양주시,회천초교.덕정주공4단지,127.0687603,37.83272051,N,양주시 대중교통과,2023-08-23
396,경기도 양주시,회천초교.덕정주공4단지,127.069021,37.83217079,N,양주시 대중교통과,2023-08-23
397,경기도 양주시,회천초등학교.회천중학교,127.069918,37.83170178,N,양주시 대중교통과,2023-08-23
398,경기도 양주시,희망아파트,126.9806013,37.82648526,N,양주시 대중교통과,2023-08-23
399,경기도 양주시,희망아파트,126.9807944,37.8264853,N,양주시 대중교통과,2023-08-23
400,경기도 양주시,대뜰,126.975995,37.80064138,N,양주시 대중교통과,2023-08-23
401,경기도 양주시,내촌사거리,127.0760717,37.85438564,N,양주시 대중교통과,2023-08-23
402,경기도 양주시,메루지마을,127.0826759,37.78441819,N,양주시 대중교통과,2023-08-23
403,경기도 양주시,마트앞,127.1039017,37.8006025,N,양주시 대중교통과,2023-08-23
404,경기도 양주시,능안공단,126.9954873,37.80888109,N,양주시 대중교통과,2023-08-23
405,경기도 양주시,나리공원,127.0815615,37.78657317,N,양주시 대중교통과,2023-08-23
406,경기도 양주시,삼숭교차로,127.1039544,37.81025349,N,양주시 대중교통과,2023-08-23
407,경기도 양주시,양주문예회관,126.9769585,37.81420203,N,양주시 대중교통과,2023-08-23
408,경기도 양주시,삼숭교차로,127.102201,37.80937274,N,양주시 대중교통과,2023-08-23
409,경기도 양주시,만송동1통,127.0832567,37.7830083,N,양주시 대중교통과,2023-08-23
410,경기도 양주시,남면산업단지입구,126.9798624,37.88286618,N,양주시 대중교통과,2023-08-23
411,경기도 양주시,서반창.삽사동,127.0727501,37.79112013,N,양주시 대중교통과,2023-08-23
